"type","rank","representative_id","representative","topic","tags","cluster_size","total_source_count","total_same_question_count","answered_count","member_samples"
"strict","1","928613d5-2a4c-4c4e-8785-057f10c3dea7","负重引体向上训练中，如何有效突破瓶颈？请提供具体的训练方法、周期安排、组数次数调整以及辅助训练建议。","街头健身","街头健身/引体向上/负重引体/新手入门/训练计划/双力臂","231","266","0","0","我练一年也做不了引体向上，该怎么办？ | 练了半年一个引体向上都做不了，该怎么办？ | 我练引体向上一年了还拉不上去，应该怎么训练？ | 引体向上卡在22个上不去，如何突破？ | 引体向上数量卡在10-11个如何突破瓶颈？ | 引体向上从10个提升到20个后卡住了，如何突破瓶颈？ | 如何让引体向上更多背部发力，练出背部肌肉形态？ | 引体向上时如何找到背部发力感觉？"
"strict","2","4ee69ff1-7468-478a-881d-72e6301fa5c6","如何从ENTP转变为其他类型（如ENTJ）？","个人成长","个人成长/MBTI","25","27","0","0","如何从内向人格（如INFJ）转变为外向人格（如ENTJ）？人格类型真的可以改变吗？ | 如何从INFP人格类型向ENTJ转变？ | 如何从P型人格（如INFP）转变成J型人格（如ENTJ）？ | 为什么我的MBTI一直是ENTP，只有在压力下才变成ENTJ？正常吗？如何改变？ | 一直是ENTP人格，只有DDL压力下才临时变成ENTJ，这是正常的吗？如何改变？ | 我一直是ENTP，只有在截止日期压力下才会暂时变成ENTJ，平时没有重大心理变化，这是正常的吗？如何改变或提升自己？ | 从INFP变成ENTJ是真的可能吗？ | 如何从ENTP转变为其他类型（如ENTJ）？"
"strict","3","0123f678-4b76-404e-9bd5-546d9beeac3a","负重引体对双力臂有用吗？","街头健身","街头健身/引体向上/负重引体/双力臂","24","24","0","0","负重引体对双力臂有用吗？ | 负重引体对前水平和单臂引体向上的帮助大不大？ | 如果不练双力臂，只练负重引体可以吗？ | 负重引体向上对提升双力臂有大的帮助吗？ | 负重双力臂训练对单引体向上有帮助吗？ | 多练负重引体向上对做双力臂有帮助吗？ | 暂停负重引体和借力负重引体，哪个训练效果更好？ | 负重引体向上和高位下拉哪个训练效果更好？"
"strict","4","b6551ca2-f724-4bf0-8e69-932009edc564","负重引体训练后应该休息几天？","街头健身","街头健身/引体向上/负重引体/训练计划","22","22","0","0","负重引体向上是每组做一个还是做多组？ | 负重引体向上一般多少个一组、做几组之后可以增加重量？ | 负重引体向上每次训练应该练几组？ | 负重引体向上的正式组应该做几组？ | 用负重引体向上增肌，每组应该做多少次比较好？ | 负重引体向上一般训练容量（组数、次数）多少比较合适？ | 负重引体用几组几次的练法涨上去的？ | 负重引体一次训练一般练几组，练多久？"
"strict","5","21a1dd5e-c152-4dd7-a1cf-36d56ca8283b","如何纠正引体向上中的姿势错误和不平衡（如肩胛发力、左右不对称、肩膀卡住）？","街头健身","街头健身/引体向上","20","23","0","0","如何改善训练中左右两侧力量不平衡的问题？ | 如何改善引体向上中左右手力量不平衡的问题？ | 引体向上向上拉时，身体为什么会向右倾斜？如何纠正？ | 做引体向上时身体歪斜是什么原因？如何改善？ | 如何纠正引体向上中的姿势错误和不平衡（如肩胛发力、左右不对称、肩膀卡住）？ | 如何矫正引体向上发力不平均的问题？ | 引体向上时身体不对称（一侧耸肩、肩膀高低不同）的原因和纠正方法？ | 做引体向上时肩膀一边高一边低是什么原因？应该如何纠正？"
"strict","6","7a436507-bf0d-4ebf-a941-6c7ffc1df857","如何练习双力臂？","街头健身","街头健身/双力臂/自媒体创业","18","29","0","0","反手宽距双力臂有什么技巧？ | 反手双力臂的发力技巧是什么？ | 反手双力臂怎么做？ | 反手双力臂有什么诀窍？ | 反手双力臂怎么样？ | 反手双力臂这个动作怎么做？ | 如何练反手双力臂？ | 如何训练才能做出双力臂？"
"strict","7","c5b94566-a6e3-4e97-9824-4254ff4e2cad","高位引体和双力臂有什么区别？","街头健身","街头健身/引体向上/双力臂","17","19","0","0","引体向上正手和反手哪个更难？ | 正手引体向上和反手引体向上哪个更难？ | 引体向上正手和反手有什么区别？推荐以哪个为主项？ | 引体向上和双力臂哪个更难？ | 单臂引体向上和高位引体向上哪个难度更高？ | 单手引体向上中，正手握、侧手握、反手握哪种更容易？ | 单手引体向上中，哪种握法最容易？ | 正手、反手、侧握引体向上哪种最省力？"
"strict","8","329f86c0-529d-4350-804e-c020f2b9b9ff","为什么我能做二十多个过头引体，但双力臂却做不了十个？","街头健身","街头健身/引体向上/双力臂/新手入门/负重引体/读博学习","16","16","0","0","能做15个引体向上但做不了双力臂，是什么原因？如何练习？ | 为什么引体向上能做很多但双力臂却做不了？如何提高双力臂的技巧？ | 为什么我能做高位引体拉到肋骨最后一根，也能做25个引体向上，但双力臂还是上不去？ | 为什么我引体向上能做15个（145斤，176cm，体脂20.6%）却做不了双力臂？ | 我能拉20个引体向上，但为什么做不了一个双力臂？如何突破？ | 为什么我能做二十多个过头引体，但双力臂却做不了十个？ | 引体向上能做20个，负重30多斤能做10个，身高175体重134斤，为什么还是做不了双力臂？是因为引体数量不够吗？ | 为什么能做多个双力臂却做不了一个高位引体？如何训练高位引体？"
"strict","9","ca0e18f4-5c61-4fee-9e4f-f76c370e5678","如何学会双力臂？","街头健身","街头健身/双力臂/新手入门/读博学习","12","21","0","0","双力臂怎么做？我只能做单力臂。 | 如何学会双力臂？ | 双力臂一个都做不了，该如何训练？ | 一个双力臂都做不了，怎么办？ | 一个双力臂都做不了，求训练方法 | 双力臂一个都做不了，该如何开始训练？ | 一个双力臂都做不起来，该怎么开始训练？ | 如何从零开始学习双力臂？"
"strict","10","76e71944-93d2-45f6-b019-f3d6ff96c6ac","为什么我做不了引体向上？如何改进？","街头健身","街头健身/引体向上/新手入门","13","13","0","0","为什么可以做很多俯卧撑但引体向上做不了几个？如何提高引体向上？ | 为什么我做不了引体向上？如何改进？ | 我连一个引体向上都做不了，如何能做一个引体向上？ | 至今一个引体向上都做不了，该怎么练？ | 为什么我一个引体向上都做不了？如何从零开始训练？ | 引体向上一个都做不了，如何从零开始训练？ | 为什么我辅助练了两个月引体向上还是上不去？如何改进？ | 为什么我练习引体向上很久了，还是拉不上去？应该如何训练才能提升？"
"strict","11","2c376505-1f44-4df8-8ae9-43cdcce1fa9d","负重引体向上会导致腰疼吗？","疼痛康复","疼痛康复/负重引体/引体向上","12","12","0","0","腰椎间盘突出患者还能进行负重训练吗？ | 腰间盘突出患者能否进行负重引体向上？ | 负重引体对腰椎间盘突出患者有风险吗？ | 负重引体对腰椎有影响吗？有风险吗？ | 有腰椎间盘突出的人练习负重引体会加重病情吗？因为负重位置正好顶着受伤处。 | 负重引体向上不怕把腰拉伤吗？ | 负重引体向上会导致腰疼吗？ | 负重引体向上时，腰部能否承受这么大的重量？是否容易受伤？"
"strict","12","494d8ee3-e4cb-4805-862c-ab286f39814c","负重引体需要达到多大的重量才能解锁双力臂动作？","街头健身","街头健身/负重引体/引体向上/双力臂","11","12","0","0","负重引体达到多少重量或数量才能解锁标准双力臂？我目前负重10kg引体5个，但双力臂还很遥远，摆浪都上不去，问题在哪？ | 负重引体达到多大重量才能解锁双力臂？ | 负重硬体引体向上需要达到多少重量才能解锁单臂引体向上？ | 负重引体向上练到多少重量才能解锁单手引体向上？ | 负重引体多少公斤才能解锁单手引体？ | 74kg体重，负重50kg引体，负重多少才能解锁双力臂和单手引体？ | 负重引体需要达到多大的重量才能解锁双力臂动作？ | 负重60公斤做一个引体就能解锁双力臂吗？"
"strict","13","ef9cfa52-be64-4b2e-8ce2-5729e1c8d5a7","做引体向上时肩膀疼痛，应该怎么办？","疼痛康复","疼痛康复/引体向上/负重引体","9","9","0","0","练引体向上/双立臂后肩膀疼痛，应该怎么缓解和处理？ | 做引体向上时肩膀疼痛，应该怎么办？ | 我做宽距引体向上时肩膀疼，可能是什么原因？如何改善？ | 做正手引体向上时肩膀不舒服，可能是什么原因？ | 每次引体向上后肩部特定位置剧痛，可能是什么原因？如何缓解？ | 我拉引体向上时左边肩胛骨疼，是什么原因？ | 做大重量负重引体向上后弱侧肩胛骨疼痛怎么办？ | 拉引体时左侧锁骨疼痛，可能是什么原因导致的？"
"strict","14","9c61df56-26e2-4a19-931e-2eba3212694b","负重引体应该怎么热身？","街头健身","街头健身/引体向上/负重引体/疼痛康复","9","9","0","0","如何一边突破极限负重引体向上，一边避免受伤？ | 如何在进行引体向上训练时保持坚持并避免受伤？ | 拉负重引体向上时如何避免受伤？能出一期教程吗？ | 负重引体向上前应该如何热身以避免受伤并提高表现？ | 负重引体向上之前应该如何热身才能避免受伤并更好地进入状态？ | 做负重引体向前应该如何热身？ | 负重引体向上前应该如何热身？只做两组的自重引体够吗？ | 负重引体应该怎么热身？"
"strict","15","b496f75f-6dfa-47de-a6c3-aab1b3ac2e3b","MBTI人格类型真的会变化吗？","个人成长","个人成长/MBTI","9","9","0","0","人格类型真的会发生变化吗？为什么我感觉到自己的MBTI人格在变化？ | MBTI人格类型真的会变化吗？ | 为什么我的MBTI人格会发生变化？ | 我的人格真的在变化，为什么会这样？ | MBTI人格类型真的会轻易改变吗？需要什么条件才能改变？ | MBTI人格类型会随着时间和经历发生变化吗？ | MBTI人格类型会随着经历变化吗？这正常吗？ | 我的MBTI类型上次测是ISTP，这次变了，为什么MBTI类型会改变？"
"strict","16","d714fcb4-8d0c-41ff-81d6-6ec554c2e4ac","如何克服知行不一的问题，提高自己的行动力？","个人成长","个人成长/执行力","8","10","0","0","如何解决知行不一的问题，将想法落到实处？ | 如何解决知行不一、想法多但落不到实处的问题？ | 如何解决知行不一的问题？想得很多但落不到实处，如何提高执行力？ | 如何克服知行不一的问题，提高自己的行动力？ | 我经常想得很多但落不到实处，如何解决知行不一的问题，提高自己的行动能力？ | 如何克服想得多做得少的知行不一问题，将思考转化为实际行动？ | 如何克服想得多做得少、知行不一的问题，从而提高自己的行动力和能力？ | 如何解决想得多做得少、知行不一的问题，提高能力？"
"strict","17","7b58da3d-065f-4f06-bc3a-516bf3f9e005","为什么我的MBTI人格从ENFJ变成了ENTJ？","个人成长","个人成长/MBTI","8","9","0","0","为什么MBTI类型会从ENFJ变成INTJ？这说明了什么？ | 为什么人的MBTI类型会从ENFP变成INTP？ | 为什么我的MBTI人格从ENFJ变成了ENTJ？ | 为什么会突然从INFP人格变成ENTJ？这是正常的吗？ | 为什么我的MBTI从ENFJ变到ESTP再变到ENTJ？这正常吗？ | 为什么我的MBTI人格类型从INTP变成了INTJ，但我觉得自己没什么变化？ | 为什么我会从ENFP变成INTP？ | 我从ENFP变成了INTP，这说明了什么？可能的原因是什么？"
"strict","18","1daab299-4a0b-40ff-8061-ad6fd0581252","如何制定负重引体向上的训练计划？包括组数、次数、频率（每周几次）、组间休息、重量选择（如后两组无法完成目标次数时如何调整），以及超级组安排等。","街头健身","街头健身/引体向上/负重引体/训练计划","6","13","0","0","如何制定负重引体向上的训练计划？包括组数、次数、频率（每周几次）、组间休息、重量选择（如后两组无法完成目标次数时如何调整），以及超级组安排等。 | 负重引体向上训练中，如何安排训练强度（是否每组力竭、容量周调整）以及负重与自重引体交替的训练计划？ | 负重引体向上训练该如何安排？ | 能否分享一下你的引体向上训练计划？ | 能分享一下你的负重引体向上训练计划吗？ | 能否分享一下负重引体向上的训练计划？"
"strict","19","18abc701-03fc-4b47-b3a1-d51188e82a08","有推荐的负重腰带吗？","街头健身","街头健身/负重引体/引体向上","7","8","0","0","能否推荐一款适合负重引体向上的负重腰带？ | 有推荐的负重腰带吗？ | 能推荐一款适合负重引体的腰带吗？ | 负重引体腰带用哪种比较好？ | 大重量负重引体向上时，腰带应该怎么选择？ | 有哪些值得推荐的负重腰带？ | 请推荐一款好用的负重腰带，类似博主使用的那款。"
"strict","20","7bcee9cb-055a-45ae-8b1b-c547f3796851","我能做10个引体向上，为什么双力臂还是拉不动？","街头健身","街头健身/引体向上/双力臂/新手入门","7","7","0","0","引体向上能做25个以上但双力臂一个都做不了如何突破 | 为什么我能做25个引体向上，却一个双力臂或单手上都上不去？ | 我引体向上能做20个，但双力臂仍然做不了，为什么？ | 我能做10个引体向上，为什么双力臂还是拉不动？ | 我能做28个引体向上，为什么还是做不了双力臂？ | 我能轻松做30个引体向上，极限40个，但为什么仍然做不了双力臂？ | 引体向上能做18个但双力臂一个都做不上去，是什么原因？如何改进？"
"strict","21","5209e192-ddae-4988-81ab-ca38e022f140","我正手引体能做10个，但双力臂做不了，该如何训练？","街头健身","街头健身/引体向上/双力臂/新手入门","6","6","0","0","为什么我能拉十几个引体向上，却一个双力臂也做不出来？应该如何训练突破？ | 为什么我能做10个引体向上却还完成不了一个双力臂？如何突破？ | 我能做十个标准引体向上，但一个双力臂都做不了，如何突破？ | 我正手引体能做10个，但双力臂做不了，该如何训练？ | 我能做12个全程标准引体向上，但双力臂一个都做不了，是什么原因？如何改进？ | 为什么引体向上能做15个以上，却一个双力臂都做不到？"
"strict","22","2b174fb5-29ef-431e-9ce9-6b771a6df2ba","如何克服懒惰和拖延，提高行动力？","个人成长","个人成长/执行力","5","6","0","0","如何克服懒惰和拖延，提高行动力？ | 如何克服懒惰和拖延的问题？ | 我容易懒惰和拖延，有什么方法可以改变？ | 我很懒还总是拖延，如何改变？ | 我很懒还总是拖延，该怎么办？"
"strict","23","6702d25d-b859-4d8c-96ac-49e813dd0da8","引体向上中‘打开’具体指什么动作？","街头健身","街头健身/引体向上","5","6","0","0","引体向上时裁判说的'打开'是指什么动作？ | 引体向上中‘打开’具体指什么动作？ | 引体向上中的‘打开’是什么意思？具体标准是什么？ | 引体向上中的‘打开’具体是指什么？是宽距吗？ | 引体向上中‘打开’是指宽距握法吗？"
"strict","24","2cb516fb-48fd-42c0-9fe6-54c9cc5123f2","MBTI人格类型是先天的吗？","个人成长","个人成长/MBTI","4","7","0","0","人格类型是先天的还是可以后天改变？ | 性格（如MBTI人格）是先天的还是后天的？ | 人格类型是先天决定的吗？ | MBTI人格类型是先天的吗？"
"strict","25","01a94202-7c94-40f4-a902-adcde0f10b79","15个标准引体向上能否解锁双力臂？","街头健身","街头健身/引体向上/双力臂/负重引体","5","5","0","0","15个标准引体向上能否解锁双力臂？ | 我能做10个完全伸直和15个不完全放直的引体向上，有希望解锁双力臂吗？ | 引体向上能做15个，如何解锁双力臂？ | 我只能负重10kg做6-7个引体向上，如何解锁双力臂？ | 引体向上能做15个，还需要达到多少个才能解锁双力臂？"
"strict","26","01d6ca55-0505-472d-beba-ccd1f9f3222f","你能做单指引体向上吗？","街头健身","街头健身/引体向上","5","5","0","0","你能做单指引体向上吗？ | 你现在还能做单手引体吗？ | 单手引体向上可以做到吗？ | 全程直臂的引体向上是否可能实现？ | 单手引体是单侧背阔肌发力吗？"
"strict","27","0bac02bb-5f42-484b-b003-e89ecf04dfe9","做引体向上时手磨得疼如何解决？","街头健身","街头健身/引体向上/疼痛康复","5","5","0","0","做引体向上时手磨得疼如何解决？ | 练引体向上时手磨得很疼怎么办？ | 做引体时手掌疼痛，有什么解决办法？ | 引体向上做多了手掌心磨得疼，有什么解决办法？ | 做引体向上时手掌疼痛，有什么缓解或预防的方法？除了戴手套还有哪些方式？"
"strict","28","1c625463-8102-4a32-852f-08c1a21e48db","引体向上主要依靠哪块肌肉？","街头健身","街头健身/引体向上","5","5","0","0","直臂引体向上（不弯曲手臂）是靠什么肌肉发力的？ | 引体向上主要依靠哪块肌肉？ | 单手引体向上主要锻炼哪块肌肉？ | 引体向上是否主要靠肱二头肌和肱三头肌发力？背阔肌是次要的？ | 反手引体向上主要锻炼哪个部位的肌肉？"
"strict","29","d3d442ba-3cee-46b6-b681-d20e0f3dcf99","如何做出改变？","个人成长","个人成长","5","5","0","0","如何实现个人改变？ | 如何做出改变？ | 我该如何改变自己？ | 如何开始改变自己？改变的方法和步骤有哪些？ | 我想改变自己，应该从哪些方面入手？"
"strict","30","49b73dc0-fa1a-4ede-bac4-5e03255feb27","引体向上时，半握和全握哪个更好？","街头健身","街头健身/引体向上/负重引体","5","5","0","0","引体向上时，半握和全握哪个更好？ | 做引体向上时应该全握还是半握？哪种更优？ | 半握和全握在追求引体向上高数量时，哪个握法更好？ | 引体向上半握和全握哪个更好？是否需要改为全握？ | 负重引体向上时，半握和全握哪种更好？如何提高握力？"
"strict","31","e6fa54df-b22a-4aa4-8bdf-f3c7ba02e0bc","为什么我负重35kg做5x5引体，却做不动双力臂？","街头健身","街头健身/负重引体/引体向上/双力臂","5","5","0","0","我体重90kg，负重40kg引体能做5个，但为什么不会双力臂？该怎么学会？ | 负重引体60kg能做三个，但还不会双力臂，两者有关系吗？如何提高双力臂？ | 为什么我体重65公斤，负重40公斤还是拉不起单臂引体？ | 为什么我负重35kg做5x5引体，却做不动双力臂？ | 体重75kg，负重35kg能做3x5标准引体，但感觉离单臂引体还很远，为什么？"
"strict","32","ad88cfc0-9f1c-4d43-8d13-e403408e85e1","数学分析和高等代数应该如何备考？","学习科研","学习科研","4","6","0","0","如何备考数学分析和高等代数？ | 如何备考数学分析和高代（高等代数）？ | 数学分析和高等代数应该如何备考？ | 数学分析和高代应该怎么备考？"
"strict","33","779d11f0-6f56-4933-9fcf-bff1c7a06357","需要负重多少才能解锁双力臂？","街头健身","街头健身/负重引体/双力臂","3","7","0","0","需要负重多少才能解锁双力臂？ | 要负重自身体重多少才能解锁直体双力臂？ | 你解锁双力臂时负重是多少千克？"
"strict","34","02726f0a-3a02-4e86-a0cb-8067cbb1da61","请出一期负重引体向上的教学视频","街头健身","街头健身/引体向上/自媒体创业/负重引体","4","4","0","0","请出一期负重引体向上的教学视频 | 可以发一个负重60kg引体向上的视频参考吗？ | 能否出一个展示引体向上自重耐力的视频？ | 负重100kg引体向上的视频什么时候发？"
"strict","35","0633032e-7de4-4ffd-94d3-b78f3fd769ff","做多少个标准引体向上后可以开始负重引体训练？","街头健身","街头健身/负重引体/引体向上","4","4","0","0","做多少个标准引体向上后可以开始负重引体训练？ | 标准引体向上需要做到多少个才能开始负重训练？ | 训练到什么水平应该开始增加负重引体向上的重量？ | 引体向上做到什么程度算是‘如喝水’，可以开始上负重？"
"strict","36","b44ce5cd-8c52-4e2d-986b-6b227d101fd4","我找不到单杠，怎么办？","街头健身","街头健身","4","4","0","0","找半天找不到单杠，该怎么办？ | 我找不到单杠，怎么办？ | 我们县城没有单杠，有哪些替代训练方式？ | 真的找不到单杠，有什么替代方法？"
"strict","37","855f8bc0-ac68-4cb8-adff-21f79e9940ec","读博应该保持什么样的心态？","学习科研","学习科研/读博学习","4","4","0","0","读博期间应该培养什么样的心态？我发现自己自然也会做出类似行为，但不确定是否正确。 | 读博过程中应该保持什么样的心态？ | 读博期间心态应该调整成什么样？ | 读博应该保持什么样的心态？"
"strict","38","c73d6135-9de2-413d-bf26-1d2885b6bf02","在数学学习中，天赋和努力哪个更重要？天赋不足如何弥补？","学习科研","学习科研/读博学习","4","4","0","0","数学学习中，天赋和努力哪个更重要？为什么有时候努力无法弥补天赋的不足？ | 在数学学习中，天赋和努力哪个更重要？天赋不足如何弥补？ | 在数学学习中，天赋和努力哪个更重要？考研数学是否更看重天赋？ | 数学学习天赋和努力哪个更重要？考研失败是否说明天赋不足？"
"strict","39","165358a9-d5a0-4e11-bb28-0ace2401f664","正反手25kg负重引体能做5×5，极限大概是多少？","街头健身","街头健身/负重引体/引体向上","4","4","0","0","正反手25kg负重引体能做5×5，极限大概是多少？ | 30kg负重引体能做5个，我的极限负重大约是多少？ | 正手宽距引体向上负重30公斤做5组5次，极限重量大概是多少？ | 我能负重10kg做5×10引体，接着自重5×10，如何估算自己的最大负重？大概在25-30kg吗？"
"strict","40","996e3eea-10f9-4fce-9b43-fed24b1f700b","如何通过训练掌握双力臂？","街头健身","街头健身/双力臂","4","4","0","0","要完成双力臂需要什么基础？ | 要练成双力臂需要哪些基础训练？ | 如何通过训练掌握双力臂？ | 我想练双力臂，应该怎么开始训练？"
"strict","41","57d3992e-c1cf-4512-8fff-63b1ed3d468b","负重引体时是必须完全标准还是可以允许提膝借力？","街头健身","街头健身/负重引体/引体向上","4","4","0","0","负重引体时是必须完全标准还是可以允许提膝借力？ | 负重引体向上时，稍微勾腿是否算借力？能否视为标准完成？ | 负重引体向上应该追求标准动作还是只要能拉上去就行？ | 负重80kg后借力蹬腿完成的上拉是否还算标准的引体向上？"
"strict","42","e0401b74-9d91-4625-b6ac-07ec2ffd5713","正手引体向上极限负重是多少？","街头健身","街头健身/负重引体/引体向上","4","4","0","0","负重引体向上，负重极限一般是多少？ | 某人的极限负重引体向上成绩是多少？ | 正手引体向上极限负重是多少？ | 某人的单手引体负重极限是多少？"
"strict","43","cea58934-3f46-4799-8f70-ca80e6b62b9c","心比天高但能力不足怎么办？","个人成长","个人成长","4","4","0","0","心比天高，但能力达不到该怎么办？ | 心比天高，但能力达不到，怎么办？ | 心比天高但能力不足，该怎么办？ | 心比天高但能力不足怎么办？"
"strict","44","bc3f6f6d-1e68-407e-ae0e-ff22cb1beb81","在引体向上中‘打开’是什么意思？","街头健身","街头健身/引体向上","2","6","0","0","引体向上中'打开'是什么意思？ | 在引体向上中‘打开’是什么意思？"
"strict","45","e7227184-dcc4-4bc7-8f50-03b2301ba36a","训练时组间休息时间应该是多少？","街头健身","街头健身/训练计划","3","4","0","0","每组之间的休息时间应该是多久？ | 训练时组间休息时间应该是多少？ | 在重量递增计划中，每组间的休息时间应该是多久？"
"strict","46","c8a1bc8b-3906-45ba-b0fe-c8cb48275733","练完负重引体后还需要做其他训练吗？还是直接结束？","街头健身","街头健身/负重引体/引体向上","3","4","0","0","负重引体向上做完5×5之后，训练就结束了还是需要练其他动作？ | 完成负重引体向上5x5训练后，还需要做其他动作吗？该如何安排后续训练？ | 练完负重引体后还需要做其他训练吗？还是直接结束？"
"strict","47","3ef56094-2358-4a22-91d6-fc8da4db1f5e","体重对引体向上表现有何影响？体重大的人如何不减重通过增肌提升引体向上数量，或体重上涨后如何改进动作？","街头健身","街头健身/引体向上","2","5","0","0","增重对引体向上能力有什么影响？如何平衡增重与引体表现？ | 体重对引体向上表现有何影响？体重大的人如何不减重通过增肌提升引体向上数量，或体重上涨后如何改进动作？"
"strict","48","022750de-9459-44e6-bd11-ac4a1aca59c3","练完负重引体后需要很长时间恢复，是否应该安排减载周？","街头健身","街头健身/负重引体/引体向上/训练计划/社区事务","3","3","0","0","练完负重引体后需要很长时间恢复，是否应该安排减载周？ | 负重引体后恢复很慢（周二练到周五才恢复），之前不知道有减载周，现在需要安排减载吗？ | 我练完负重引体后需要到周五才能恢复到周二的水平，之前没有安排减载周，现在需要加入减载周吗？"
